区域,城市,年份,文件类型,支出类别,匹配关键词,原文片段,金额（万元）,页码,文件名
东部,上海,2021,财政决算报告,human,教育支出,其中：教育支出296.5亿元，完成调整预算的101.4%,2965000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,科学技术支出,科学技术支出225亿元，完成预算的95.9%,2250000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,社会保障和就业支出,社会保障和就业支出430亿元，完成预算的99.6%,4300000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,卫生健康支出,卫生健康支出283.5亿元，完成调整预算的106%,2835000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,公共安全支出,公共安全支出194.7亿元，完成预算的110.3%,1947000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,农林水支出,农林水支出91.3亿元，完成调整预算的120.4%,913000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,城乡社区支出,城乡社区支出303.5亿元，完成调整预算的98.7%,3035000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,医院,2021年，按预算法规定安排的市级预备费70亿元，主要用于预算执行中增加安排新冠疫苗接种经费、疫情防控经费、市级公立医院开办及设备购置经费、公共污水处理系统运营经费、道路合杆整治经费等支出,700000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,基础设施,市级国有土地使用权出让支出851.8亿元，完成调整预算的98.8%，主要用于中心城区旧区改造、轨道交通和重点区域土地收储及配套基础设施建设等方面支出,8518000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,建设,安排落实专项资金和政府债券资金等130.2亿元，支持临港新片区建设，持续推进“两个15%”所得税优惠政策在新片区有效落地,1302000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,建设,支出6亿元，支持长三角区域“水乡客厅”重大项目开工建设等,60000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,建设,安排落实5.3亿元，推进虹桥国际开放枢纽建设,53000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,建设,支出76.2亿元，支持在沪国家实验室和长三角国家技术创新中心等建设，强化国家战略科技力量，推动国家重大科技项目落户上海，试点基础研究领域项目经费包干制，推进基础研究高质量发展,762000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,基础设施,安排落实549.2亿元，支持轨道交通等交通基础设施建设、社会民生等领域重大项目,5492000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,保障,坚持“外防输入、内防反弹”，全市统筹安排落实106.8亿元，其中，市级支出52.5亿元，重点用于保障疫苗接种、医疗救治、疫情防控人员补助、发热门诊改造、诊疗设备和防控物资购置、进口冷链物流防疫、基地航空公司航班防疫消毒等，推动健全公共卫生体系，支持上海市重大传染病和生物安全研究院、上海市免疫治疗创新研究院等研究机构建设,1068000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,失业,支出65亿元，完善多渠道灵活就业政策，促进高校毕业生等重点群体就业创业，支持做好失业人员再就业工作，实施职业技能提升、线上培训和以工代训补贴等政策，推动实现更高质量的充分就业,650000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,教育,支出296.5亿元，推进地方高水平大学和新一轮“双一流”建设等，支持高校服务国家和区域重大科技创新战略，推进优化高等教育和职业教育资源布局，支持实施上海高等教育人才揽蓄行动,2965000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,医疗,支出117亿元，支持推进健康上海行动，支持公立医院基本建设和大型医疗设备购置，推进实施市级医院临床技能与临床创新三年行动计划,1170000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,保障,安排落实523.2亿元，推进中心城区成片二级旧里以下房屋改造、旧住房综合改造、城中村改造和保障性住房建设，支持架空线入地和杆箱整治、既有多层住宅加装电梯、人行天桥加装无障碍电梯以及“美丽街区”提升改造等,5232000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,保障,支出71亿元，健全以绿色生态为导向的农业补贴政策体系，支持都市现代农业发展，推进开展农村综合帮扶，保障美丽乡村建设，支持建成46个市级美丽乡村示范村、32个市级乡村振兴示范村，推动1.4万户农民相对集中居住,710000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,保障,围绕全面提升城市软实力，支出90亿元，保障中共一大纪念馆等红色文化传承地建设和公共文化设施建设，加快推进文化创意产业发展，支持办好重大文旅节庆活动，促进竞技体育发展，引领带动全民健身,900000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,建设,支出31.3亿元，围绕推进治理数字化转型，重点支持政务服务“一网通办”和城市运行“一网统管”体系建设,313000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,建设,支出137.7亿元，支持“一江一河”城市治理，推进河道整治、农村生活污水治理等，支持完成崇明世界级生态岛建设第四轮三年行动计划，支持长江流域重点水域禁捕退捕,1377000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,保障,支出77.9亿元，保障公共安全、社会治安、网络安全、应急管理、消防安全、防汛防台、食品安全等领域资金需求，支持加强对各类安全风险隐患的排查化解，保障城市安全运行和社会大局稳定,779000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,卫生健康支出,1-6月，卫生健康支出435.6亿元，完成调整预算的65.9%,4356000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,社会保障和就业支出,社会保障和就业支出607.6亿元，完成调整预算的54.6%,6076000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,商业服务业等支出,商业服务业等支出118.4亿元，完成预算的55.2%,1184000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,保障,安排落实市对区补助资金40亿元，支持各区统筹用于集中隔离房源征用和运行保障、居民核酸检测、生活物资保供等疫情防控相关支出,400000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,改造,统筹平衡资金884亿元，支持完成中心城区成片二级旧里以下房屋改造目标任务,8840000.0,,上海市2025年预算.txt
东部,上海,2022,财政决算报告,human,教育支出,其中：教育支出312.2亿元，完成调整预算的101.4%,3122000.0,,上海市2025年预算.txt
东部,上海,2022,财政决算报告,human,社会保障和就业支出,社会保障和就业支出467.2亿元，完成预算的99.6%,4672000.0,,上海市2025年预算.txt
东部,上海,2022,财政决算报告,human,卫生健康支出,卫生健康支出381.9亿元，完成预算的143.7%,3819000.0,,上海市2025年预算.txt
东部,上海,2022,财政决算报告,human,节能环保支出,节能环保支出137.3亿元，完成调整预算的101.7%,1373000.0,,上海市2025年预算.txt
东部,上海,2022,财政决算报告,human,保障,2022年，按预算法规定安排的市级预备费70亿元，主要用于预算执行中增加安排市级新冠定点医疗机构开办运营、服务保障外省市援沪医疗队、提升核酸检测能力、发放电子消费券等疫情防控和复工复产相关支出,700000.0,,上海市2025年预算.txt
东部,上海,2022,财政决算报告,physical,基础设施,市级国有土地使用权出让支出806.1亿元，完成调整预算的99.1%，主要用于中心城区旧区改造、轨道交通和重点区域土地收储及配套基础设施建设等方面支出,8061000.0,,上海市2025年预算.txt
东部,上海,2022,财政决算报告,human,补助,为支持各区疫情防控，缓解财政收支矛盾，进一步加大市对区转移支付力度，在年初预算基础上新增安排市对区疫情防控一揽子转移支付补助资金125亿元，并将中央下达本市减税降费补助资金重点向区级倾斜，及时分配下达各区215.7亿元补充区级财力,1250000.0,,上海市2025年预算.txt
东部,上海,2022,财政决算报告,human,保障,聚焦保障临港新片区发展，市区两级统筹投入117.8亿元，加快推动临港新片区基础设施和公共设施建设，持续推进新片区内重点产业企业所得税优惠政策精准实施，促进重点产业加速集聚,1178000.0,,上海市2025年预算.txt
