区域,城市,年份,文件类型,支出类别,匹配关键词,原文片段,金额（万元）,页码,文件名
东部,上海,2021,财政预决算报告,physical,未明确方向,﻿关于上海市2021年市级决算及2022年上半年预算执行情况的报告2022-09-05 来源：市财政局,0.02,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,2022年8月27日在上海市第十五届人民代表大会常务委员会第四十三次会议通过,0.02,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,我受市人民政府委托，向市人大常委会提出本市2021年市级决算报告和市级决算草案，请予审查。同时，简要报告今年上半年本市“四本预算”执行、财政重点工作推进落实情况和下半年工作的初步安排。,0.02,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,一、2021年市级“四本预算”收支决算情况和财政重点工作推进落实情况,0.02,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,2021年是党和国家历史上具有里程碑意义的一年。我们坚持以习近平新时代中国特色社会主义思想为指导，认真贯彻党中央、国务院决策部署，在中共上海市委的领导下，严格执行市十五届人大五次会议审查批准的预算，完整、准确、全面贯彻新发展理念，促进积极的财政政策提质增效、更可持续，财政改革发展取得新进展，预算执行平稳有序，全市和市级决算情况总体良好，较好地完成了全年目标任务，以实际行动庆祝中国共产党成立一百周年，实现了“十四五”良好开局。根据预算法有关规定，重点报告以下情况：,0.02,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,（一）2021年一般公共预算收支决算情况,0.02,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,1.全市一般公共预算收支决算情况,0.0,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,2.市级一般公共预算收支决算情况,0.0,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,human,教育,从支出决算具体情况看，市级支出2843.3亿元，完成调整预算的104.2%。其中：教育支出296.5亿元，完成调整预算的101.4%；科学技术支出225亿元，完成预算的95.9%；社会保障和就业支出430亿元，完成预算的99.6%；卫生健康支出283.5亿元，完成调整预算的106%；公共安全支出194.7亿元，完成预算的110.3%；农林水支出91.3亿元，完成调整预算的120.4%；城乡社区支出303.5亿元，完成调整预算的98.7%；交通运输支出298.3亿元，完成调整预算的141.5%。,0.03,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,2021年，市对区一般公共预算转移支付1003.5亿元，完成预算的97.6%，其中，一般性转移支付665.3亿元，专项转移支付338.2亿元。与2022年1月向市十五届人大六次会议报告的执行数一致。,0.02,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,human,医院,2021年，按预算法规定安排的市级预备费70亿元，主要用于预算执行中增加安排新冠疫苗接种经费、疫情防控经费、市级公立医院开办及设备购置经费、公共污水处理系统运营经费、道路合杆整治经费等支出。,0.02,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,2021年，市级使用以前年度结转资金安排的支出44亿元。其中，市级使用32.5亿元，市对区税收返还和转移支付使用11.5亿元。市级周转金规模没有发生变化，年末余额为56.5亿元，主要用于调剂预算年度内季节性收支差额。,0.02,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,2021年，市级“三公”经费财政拨款支出合计3.35亿元，比预算数减少4.05亿元，主要是各部门严格落实党政机关带头过紧日子要求，从严控制和压缩“三公”经费支出，以及受新冠肺炎疫情影响减少“三公”支出。其中：因公出国（境）费0.01亿元，减少1.96亿元；公务用车购置及运行费2.94亿元（其中，购置费1.16亿元、运行费1.78亿元），减少1.36亿元；公务接待费0.4亿元，减少0.73亿元。上述行政事业单位结余的财政资金，全部用于补充市级预算稳定调节基金。,0.02,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,（二）2021年政府性基金预算收支决算情况,0.02,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,1.全市政府性基金预算收支决算情况,0.0,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,2.市级政府性基金预算收支决算情况,0.0,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,（三）2021年国有资本经营预算收支决算情况,0.02,,上海市2021年市级决算.txt
东部,上海,2021,财政预决算报告,physical,未明确方向,1.全市国有资本经营预算收支决算情况,0.0,,上海市2021年市级决算.txt
