区域,城市,年份,文件类型,支出类别,匹配关键词,原文片段,金额（万元）,页码,文件名
西部,咸阳,2022,政府工作报告,human,引进,二是强化项目工作和招商引资，着力增强发展动能。大抓项目、大抓招商，项目专班推进工 作，全社会固定资产投资增长 5.1%。385 个市级重点项目完成投资 1031.7亿元、占年度计 划 109.74%，建成 146 个。招商引资引进合同项目 386 个、合同引资 2431.2亿元，其中，10亿元以上工业项目 24 个；实现到位资金 825.6亿元。地铁 1 号线三期开工，渭河高新大 桥启动，西安—咸阳一体化迈出新步伐。实施一批优功能、提品质的城建项目，渭河南岸河 堤路加固改造工程以及彩虹一路雨污分,10317000.0,,咸阳市2022政府工作报告.docx
西部,咸阳,2022,政府工作报告,human,就业,三是坚决打赢攻坚战，着力夯实全面小康基础。紧盯“两不愁三保障”和饮水安全，扎实开展“三排查三清零”和对标补短，25.17 万贫困群众稳定就业，帮助销售扶贫产品 18.74亿元，脱贫攻坚取得决定性胜利。蓝天保卫战力度持续加大，镇办空气监测网络在全省率先实现全 覆盖，“工煤车尘燃”主要污染源治理更加精准有力，农村清洁取暖改造累计完成 37.4 万户，冬季重污染天气期间实行公交免费，全年 PM2.5 平均浓度同比下降 16.9%，空气优良天数同 比增加 21 天。隐性债务稳步化解，各类风险得到有效防控,187400.0,,咸阳市2022政府工作报告.docx
西部,咸阳,2022,政府工作报告,physical,5G,四是强化改革开放和创新驱动，着力释放发展活力。“放管服”改革持续深化，政务事项网上 可办率超过 90%，“互联网＋监管”扎实推进，综合执法改革实现一个领域“一支队伍管执法”，“互联网+大走访”优化营商环境做法全省推广。新增减税降费 29亿元以上，为企业降低用电 用气成本 1.97亿元，“多措并举为市场主体减负让利”做法受到国务院通报表扬。培育高新技 术企业 42 家，技术合同成交额 42.8亿元。5G 基站加快建设，新型智慧城市建设评价综合 排名全省第一。外贸进出口总额完成 103.99亿元，增,290000.0,,咸阳市2022政府工作报告.docx
西部,咸阳,2022,政府工作报告,human,学校,五是兜牢底线，着力保障和改善民生。全年民生支出 333.2亿元，占财政支出 80.8%。30 件 惠民便民实事完成投资 116.7亿元。提前 10 天为市民供暖。出台稳就业 26 条，“减免降缓 返”社会保险费 13.2亿元，投入就业补贴资金 2.5亿元，城镇新增就业 4.51 万人，城镇登记 失业率控制在 3.6%。陕工职院新校区、市特教学校加快建设，高新存志学校建成招生，公办 园占比、公办园在园幼儿占比均超过 50%。综合医改不断深化，市中心医院医技住院综合楼 建成投用。全国十四运涉赛场馆改,3332000.0,,咸阳市2022政府工作报告.docx
西部,咸阳,2022,政府工作报告,human,教育,“十三五”，改革开放不断深化。机构改革任务全面完成。“五链共治、法在基层”社会治理模式 全省推广。农村土地“三权分置”、农村集体产权制度等改革极大地释放了农村活力，医药卫 生、教育等社会事业领域体制改革让群众得到更多实惠。“放管服”改革累计承接、取消、下 放、调整行政审批事项 427 项，政府运行更规范、更高效，群众和企业办事更便捷、更省 心，新增市场主体 19.47 万户。外贸进出口总额由“十二五”末的 28.64亿元增长到 103.99亿元。,286400.0,,咸阳市2022政府工作报告.docx
西部,咸阳,2022,政府工作报告,human,卫生,“十三五”，城乡面貌发生明显变化。省政府批复咸阳城市总体规划，文体功能区建成区面积 11 平方公里，拉开了城市框架；17 公里的渭河水生态带成为市民会客厅，“三城两带”空间 结构基本形成。城市功能更加完善，管理更加精细，品质进一步提升，道路系统持续优化，公交全部实现新能源公交车替代，绿化率提高到 39%以上，城区机械化清扫率达到 91%，城 市生活垃圾分类试点收效明显，先后成功创建国家园林城市、全国绿化模范城市、全国文明 城市。彬州撤县设市，县域经济平均规模达到 142.6亿元，全市城镇化率比 ,1426000.0,,咸阳市2022政府工作报告.docx
西部,咸阳,2022,政府工作报告,physical,新基建,一是积蓄新动能。以城市经济“万项万亿”增资行动为抓手，以招商引资为第一要事，在提档 升级上下功夫，推进基础产业固本增效、传统产业转型增力、新兴产业接续增量，“五主导、四特色、四新兴”现代产业体系基本形成。在提速增量上下功夫，经济增速高于全国全省平 均增速。在提质增效上下功夫，强化创新驱动、科技赋能，围绕西部科技创新港推动创新链 与产业链、资本链、服务链深度融合，争取一批科技专项，新增一批“民参军”企业，战略性 新兴产业增加值超过 380亿元，全市科技创新水平综合指数达到 50%以上。在提能增智上,3800000.0,,咸阳市2022政府工作报告.docx
西部,咸阳,2022,政府工作报告,human,健康,认真执行减税降费政策。严格落实各级各部门稳增长责任，加强经济运行监测预警，稳增长 5 个工作专班调度落实。强化工业对稳增长的支柱作用，落实“三包三促”责任制，发挥工业 发展专项资金的撬动效应，多措并举稳存量，服务保障 40 户大企业集团释放产能；不遗余 力扩增量，确保 51 个技改项目、99 个工业重点项目按期达产达效，神电智能高压电器、彩 虹光电扩能技改等重大工业项目建成投产，新增规模以上工业企业 80 户。强化投资对稳增 长的关键作用，每月集中开工、季度观摩评比。确保 380 个市级重点项目,10256000.0,,咸阳市2022政府工作报告.docx
西部,咸阳,2022,政府工作报告,physical,未明确方向,项目支撑，招商推动。强化项目专班工作机制，树立以项目比实绩、以招商论英雄的鲜明导 向。提升项目谋划能力，加强项目库建设，制定产业招商地图，选准招商目标企业。提升招 商引资专业化水平，组建北京、上海、成都、深圳 4 个招商分局。运用“投行思维”招商，依 托龙头性、功能性平台企业招商，探索委托授权企业、中介、社团等代理招商，组织开展央 企民企进咸活动。加强对签约项目的跟踪服务，实行重大招商项目落地建设周推进制度，招 商引资到位资金 930亿元以上。,9300000.0,,咸阳市2022政府工作报告.docx
西部,咸阳,2022,政府工作报告,human,教育,各位代表，今年我们将投资 116亿元，聚焦助推“千村万户”提能增收、持续优化生态环境、积极构建综合交通体系、实施城市环境及基础设施更新改造行动、做好全运文化惠民工作、完善多层次社会保障、办好人民满意的教育，持续办好 30 件惠民便民实事，让人民群众生 活越来越好！,1160000.0,,咸阳市2022政府工作报告.docx
